research_date,app_name,developer,app_store_url,category,subtitle,rating_score,rating_count,listed_price,listed_in_app_purchases,subscription_presence,transparent_export_support,document_upload_requirement,account_requirement,privacy_label_summary,last_update,screenshot_messages,first_three_screenshot_strategy,prominent_review_complaints,prominent_review_praise,direct_relevance_to_only_signature,differentiation_opportunity,evidence_notes
"2026-08-25","e Signature Scanner, Sign PDF","Profuse SRL","https://apps.apple.com/us/app/e-signature-scanner-sign-pdf/id1502608223","Business","Electronic Document Signer App","4.58246","1995","Free","Save 1 signature $4.99; premium offers $9.99-$99.99","Yes; recurring premium offers surfaced","Background removal is promoted; transparent asset export was not conclusively established","Scanning and document signing are core flows","Not stated","Data Not Linked to You","2026-08-19","Scan Signature; second message unreadable; Sign Document AGREEMENT","Signature capture first, then document placement","150-review feed sample: paid but could not place signature; inaccurate scan/unsaved changes; exported document missing signature","Positive reviews in the sampled feed were sparse and mostly generic","High: signature scanning and one-signature IAP compete directly for intent","Win on reliable output verification, no real-document upload, and clear re-export rights","Live US listing and iTunes lookup; purposive Apple review-feed sample accessed 2026-08-25."
"2026-08-25","Signature Maker & Esign Now","Loyal Foundry, Inc.","https://apps.apple.com/us/app/signature-maker-esign-now/id1306571435","Productivity","Sign,edit and scan documents","4.6517","9980","Free","Weekly $1.99-$8.99; Yearly $49.99; other premium offers","Yes","Not established in public listing","Document editing/scanning is the principal flow","Not stated","Data Not Linked to You","2026-08-20","Screenshot text was not reliably readable; visuals show signature/document workflows","Broad feature demonstration rather than a single transparent-export problem","100-review feed sample: full-page ads; ads after a lifetime offer; update removed a signature-practice view","Helpful; good price","High demand proxy and broad search competitor; product is document-suite oriented","Differentiate with no ads, no subscription, stable narrow scope, and white-box proof in screenshot 2","Live US listing and iTunes lookup; purposive Apple customer-reviews RSS sample accessed 2026-08-25. Rating count is only a demand proxy."
"2026-08-25","eSign AI - AI Signature Maker","HEYOS YAZILIM HIZMETLERI TICARET LIMITED SIRKETI","https://apps.apple.com/us/app/esign-ai-ai-signature-maker/id6738304819","Productivity","Text to Signature Maker","4.04845","743","Free","Weekly $6.99; Yearly $39.99; discounted yearly $19.99","Yes","Not established in public listing","Document signing is promoted after AI generation","Not stated","Data Linked to You","2026-05-05","AI Signature; Text to Signatures; Sign the Documents","AI generation first, text conversion second, document use third","Eighty-nine-review feed sample: everything paywalled; must pay before trying; free options reportedly failed; crash report","Some reviewers liked generated styles; positive evidence was less specific","High search-intent overlap; typed/AI output is out of Only Signature scope","Lead with real handwriting, free usable white export, and no pay-before-you-can-try ambiguity","Live US listing and iTunes lookup; purposive Apple review-feed sample accessed 2026-08-25."
"2026-08-25","Signature Maker - SignHub","Waleed Afzal","https://apps.apple.com/us/app/signature-maker-signhub/id6471261807","Business","eSign PDFs, Documents & Forms","4.56579","76","Free","Weekly $1.99; Monthly $5.99; Yearly $13.99-$19.99; Lifetime $34.99","Yes plus a lifetime offer","Not established in public listing","Document management and PDF signing are core flows","Not stated","Data Linked to You and Data Not Linked to You","2026-08-04","Quick Signatures; Customize Your Signature; Document Management","Speed, customization, then suite breadth","No Apple RSS review sample surfaced during this pass","No Apple RSS review sample surfaced during this pass","Medium-high: signature creation plus document suite","Stay intentionally narrow, show transparency, and avoid ambiguous lifetime language","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","eSign: Digital Signature Maker","Torgomyan Levon","https://apps.apple.com/us/app/esign-digital-signature-maker/id6714449679","Business","Scan & Sign PDF Documents","4.78911","147","Free","Premium offers $4.99-$49.99","IAP cadence not fully established; recurring offers surfaced","Background removal is promoted; transparent asset export was not conclusively established","Scanning/PDF signing is a core flow","Not stated","Data Not Linked to You","2026-01-22","First two messages unreadable; third shows INVOICE","Document example communicates use more than asset creation","Six-review feed sample: poor background removal even on white paper; everything locked","Convenient, user-friendly, quick","High: removal quality and signature creation overlap","Avoid scanning failure by drawing directly; verify alpha at pixel level; provide a working free path","Live US listing and iTunes lookup; Apple customer-reviews RSS accessed 2026-08-25."
"2026-08-25","AI Signature Generator Signify","Zipo Apps Ltd.","https://apps.apple.com/us/app/ai-signature-generator-signify/id6740637904","Graphics & Design","AI Signature Maker & Creator","4.05263","95","Free","Weekly $4.99-$6.99; Monthly $9.99; Annual $34.99-$69.99; unlimited offers $8.99-$49.99","Yes plus unlimited offers","Not established in public listing","No document is required for AI signature generation","Not stated","Data Not Linked to You","2026-08-20","Create stunning signatures from text; #1 AI Signature Generator; Text to Signatures Created","AI text conversion and category-leadership claim dominate first three","No targeted review sample was included in this pass","No targeted review sample was included in this pass","High keyword overlap but different product mechanism","State no AI/template substitution and let the user’s handwriting be the visual proof","Live US listing and iTunes lookup accessed 2026-08-25; competitor superlative is its claim, not independently verified."
"2026-08-25","eSign: Signature Maker, Editor","Marvin Wimmer","https://apps.apple.com/us/app/esign-signature-maker-editor/id6745844134","Utilities","Fill and Sign PDF Documents","4.68217","129","Free","Weekly $6.99-$7.99; Monthly $17.99; Annual $49.99","Yes","Not established in public listing","PDF fill/sign is the principal flow","Not stated","Data Not Collected","2026-05-11","First two messages unreadable; Build custom e-signatures","Feature breadth and custom e-signatures","No targeted review sample was included in this pass","No targeted review sample was included in this pass","Medium-high broad search competitor","Use signature-asset outcome, initials inclusion, and transparent-vs-white proof instead of PDF editor claims","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","Signature Creator - Sign PDF","Isinsu Arici Tan","https://apps.apple.com/us/app/signature-creator-sign-pdf/id6751643545","Business","Create signature, sign PDF.","5","1","Free","Weekly $1.99; Monthly $4.99; Lifetime $12.99; Yearly $29.99","Yes plus a lifetime offer","Not established in public listing","PDF import/signing is a core flow; draw/scan/import signature also exists","Not stated","Data Not Linked to You","2026-08-20","Sign smart. Move faster.; Create Signatures / Draw scan import; Easily Sign Documents","Speed proposition, acquisition methods, then document signing","One rating is insufficient for defensible review mining","One rating is insufficient for defensible review mining","High feature overlap but document signing is the advertised job","Avoid ambiguous lifetime scope and scanning; make one-set scope explicit before purchase","Live US listing and iTunes lookup accessed 2026-08-25; one rating is not treated as reliable sentiment."
"2026-08-25","eSign App: Sign PDF Documents","Municorn Limited","https://apps.apple.com/us/app/esign-app-sign-pdf-documents/id6446249178","Business","e-Signature: Signature Maker","4.79164","1483","Free","Premium $4.99-$69.99; weekly document bundle $14.99; monthly $39.99","Yes","Not established in public listing","PDF/document signing is the principal flow","Not stated","Data Not Linked to You","2026-08-04","Create a signature; with your iPhone; EASY TO USE","Simple three-frame capability/ease story","150-review feed sample: charged weekly; cannot use without subscription; marketed free but signature download required payment","Convenient and quick","High search competitor with strong ratings-demand proxy; different product scope","Use a genuinely usable free export and put no subscription/one-set scope in the first three screenshots","Live US listing and iTunes lookup; purposive Apple customer-reviews RSS sample accessed 2026-08-25."
"2026-08-25","eSign — Fill & Sign Documents","Alvin Young","https://apps.apple.com/us/app/esign-fill-sign-documents/id6746846547","Utilities","Electronic Signature Maker","4.14035","57","Free","Weekly $4.99; Monthly $12.99; Yearly $39.99; Lifetime $59.99","Yes plus a lifetime offer","Not established in public listing","Document fill/sign is the principal flow","Not stated","Data Not Collected","2026-07-07","CREATE signatures; SIGN any documents; third message unreadable","Create then document-use sequence","Three-review feed sample: does not work; confusing; cannot edit signatures/resize dates","No substantive praise surfaced in the three-review sample","Medium-high broad search competitor","Lead with a single asset-export job, large controls, immutable purchased-set fairness, and tested export output","Live US listing and iTunes lookup; all three available Apple customer-reviews RSS entries sampled 2026-08-25."
