package,version,scope,purpose,maintenance_status,license_status,native_code,data_behavior,network_behavior,permissions_or_privacy_impact,release_decision
react-native-safe-area-context,~5.7.0,mobile-runtime,Safe-area layout,Maintained Expo-compatible line,Verify installed metadata,Yes,Insets only,None,None,Required
react-native-screens,~4.26.0,mobile-runtime,Native navigation screens,Maintained Expo-compatible line,Verify installed metadata,Yes,Navigation state,None,Inspect archive,Required by router
@only-signature/config,1.0.0,first-party-runtime,Typed release configuration,First-party,Private first-party,No,Public config values only,None,Fail closed; no secrets,Required
@only-signature/content,1.0.0,first-party-runtime,Authoritative copy policies FAQ,First-party,Private first-party,No,Consumer copy only,None,Drift tests,Required
@only-signature/core,1.0.0,first-party-runtime,Canonical model export purchase state,First-party,Private first-party,No,Local domain data,None,Sensitive logging prohibited,Required
@only-signature/design-tokens,1.0.0,first-party-runtime,Shared style tokens,First-party,Private first-party,No,None,None,Contrast verification,Required
astro,7.2.6,site-build,Static website generation,Maintained declared version,Verify installed metadata,Build-time,Site source/content,Package install/build only,No runtime analytics,Required for site build
@astrojs/check,0.9.10,site-build,Astro validation,Maintained declared version,Verify installed metadata,No,Source only,Package install only,None,Build-time only
typescript,6.0.3,multi-build,Static type checking,Maintained declared versions,Apache-2.0 expected; verify installed metadata,No,Source only,Package install only,None,Build-time only
vitest,4.1.11,test,Test runner,Maintained declared version,Verify installed metadata,No,Fixtures/results,Package install only,None,Exclude from runtime
@vitest/coverage-v8,4.1.11,test,Coverage,Maintained declared version,Verify installed metadata,Yes,Source coverage,Package install only,None,Exclude from runtime
eslint,9.39.2,build,Lint,Maintained declared versions,Verify installed metadata,No,Source/results,Package install only,None,Build-time only
prettier,3.6.2,build,Formatting,Maintained declared version,Verify installed metadata,No,Source files,Package install only,None,Build-time only
sharp,0.35.3,build-assets,Deterministic image screenshot processing,Maintained declared version,Apache-2.0 expected; verify binaries/metadata,Yes,Fixture/store images,Package install only,None,Must not ship in mobile runtime
pngjs,7.0.0,test,Pixel decoding,Declared version; maintenance review required,MIT expected; verify installed metadata,No,Test images,Package install only,None,Test only
typescript-eslint,8.68.0,build,Type-aware lint,Maintained declared version,Verify installed metadata,No,Source/results,Package install only,None,Build-time only
